"MUNIC_RES","ANO","POPULACAO"
"2207504","2021",14633
"2207553","2021",3931
"2207603","2021",10846
"2207702","2021",153863
"2207751","2021",4331
"2207777","2021",6420
"2207793","2021",4084
"2207801","2021",20583
"2207850","2021",3662
"2207900","2021",38812
"2207934","2021",2551
"2207959","2021",4392
"2208007","2021",78627
"2208106","2021",12150
"2208205","2021",18492
"2208304","2021",28952
"2208403","2021",63829
"2208502","2021",12646
"2208551","2021",2728
"2208601","2021",3149
"2208650","2021",9041
"2208700","2021",8814
"2208809","2021",17979
"2208858","2021",4306
"2208874","2021",4499
"2208908","2021",7408
"2209005","2021",6434
"2209104","2021",6254
"2209153","2021",4046
"2209203","2021",6256
"2209302","2021",5903
"2209351","2021",4650
"2209377","2021",5254
"2209401","2021",6466
"2209450","2021",2172
"2209500","2021",3809
"2209559","2021",4454
"2209609","2021",2923
"2209658","2021",5801
"2209708","2021",6417
"2209757","2021",3071
"2209807","2021",5044
"2209856","2021",4619
"2209872","2021",6084
"2209906","2021",6106
"2209955","2021",4856
"2209971","2021",8085
"2210003","2021",20720
"2210052","2021",5361
"2210102","2021",3737
"2210201","2021",6696
"2210300","2021",6379
"2210359","2021",4581
"2210375","2021",2648
"2210383","2021",2456
"2210391","2021",3037
"2210409","2021",17617
"2210508","2021",14356
"2210607","2021",35035
"2210623","2021",3434
"2210631","2021",4311
"2210656","2021",10074
"2210706","2021",14664
"2210805","2021",12778
"2210904","2021",4557
"2210938","2021",6801
"2210953","2021",2939
"2210979","2021",2781
"2211001","2021",871126
"2211100","2021",44649
"2211209","2021",21746
"2211308","2021",20940
"2211357","2021",4930
"2211407","2021",4382
"2211506","2021",3082
"2211605","2021",2935
"2211704","2021",4479
"2300101","2021",11965
"2300150","2021",15140
"2300200","2021",63556
"2300309","2021",54687
"2300408","2021",17584
"2300507","2021",11846
"2300606","2021",7712
"2300705","2021",16077
"2300754","2021",44195
"2300804","2021",7402
"2300903","2021",14742
"2301000","2021",81581
"2301109","2021",75392
"2301208","2021",26600
"2301257","2021",10983
"2301307","2021",21707
"2301406","2021",11759
"2301505","2021",7848
"2301604","2021",23537
"2301703","2021",24567
"2301802","2021",6318
"2301851","2021",18313
"2301901","2021",61662
"2301950","2021",22715
"2302008","2021",22834
"2302057","2021",15069
"2302107","2021",36127
"2302206","2021",54315
"2302305","2021",32851
"2302404","2021",54680
"2302503","2021",50195
"2302602","2021",64147
"2302701","2021",27513
"2302800","2021",77484
"2302909","2021",17830
"2303006","2021",23011
"2303105","2021",18470
"2303204","2021",27008
"2303303","2021",18700
"2303402","2021",17763
"2303501","2021",72706
"2303600","2021",21041
"2303659","2021",10410
"2303709","2021",368918
"2303808","2021",25612
"2303907","2021",13112
"2303931","2021",13608
"2303956","2021",20286
"2304004","2021",23340
"2304103","2021",75241
"2304202","2021",133913
"2304236","2021",18201
"2304251","2021",25121
"2304269","2021",9698
"2304277","2021",7254
"2304285","2021",55035
"2304301","2021",19330
"2304350","2021",24680
"2304400","2021",2703391
"2304459","2021",16776
"2304509","2021",14195
"2304608","2021",7767
"2304657","2021",14415
"2304707","2021",55170
"2304806","2021",4784
"2304905","2021",11219
"2304954","2021",26508
"2305001","2021",40921
"2305100","2021",5073
"2305209","2021",20126
"2305233","2021",69688
"2305266","2021",13385
"2305308","2021",25165
"2305332","2021",12730
"2305357","2021",20183
"2305407","2021",68303
"2305506","2021",103633
"2305605","2021",26196
"2305654","2021",11597
"2305704","2021",12507
"2305803","2021",42148
"2305902","2021",38064
"2306009","2021",14351
"2306108","2021",24450
"2306207","2021",7904
"2306256","2021",38661
"2306306","2021",53448
"2306405","2021",131687
"2306504","2021",20653
"2306553","2021",42595
"2306603","2021",22018
"2306702","2021",18133
"2306801","2021",11580
"2306900","2021",34592
"2307007","2021",33960
"2307106","2021",27187
"2307205","2021",8150
"2307254","2021",20351
"2307304","2021",278264
"2307403","2021",24949
